33,29
52,29
36,98
20,78
17,26
27,87
1,89
3,64
43,99
14,65
47,16
7,1
86,57
11,57
35,56
67,21
39,95
68,21
73,34
99,72
31,12
40,81
69,42
99,60
26,12
46,46
35,51
38,80
4,91
77,26
6,74
65,10
87,90
15,47
85,53
38,37
68,52
40,52
31,22
72,27
21,54
61,4
66,84
70,10
54,65
99,21
31,71
13,98
39,61
74,23
23,49
59,91
97,82
24,60
5,11
91,40
3,82
86,81
91,60
81,10
100,3
40,35
96,13
6,53
55,58
46,84
10,39
41,74
31,20
94,30
25,78
12,18
67,63
26,100
18,70
43,19
90,87
76,72
77,13
68,35
44,4
18,26
66,44
40,22
66,13
74,55
37,81
25,50
18,74
11,21
82,41
22,45
98,45
35,19
13,18
82,75
98,99
67,73
57,96
75,76
